"Country","RowID","Age","Gender","Kids","Education","WrkStatus","Income","Occupation","YearsInPos","MnthsInPos","CommSize","MaritalStat","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcrast","OthrProcrast","DPMean","AIPMean","GPMean","SWLSMean","OccupatnAlt","EducationAlt","HDICategory","HDI"
"*Missing*",4130,45,"Male","No","deg","Full-Time",150000,"0","2",0,"Small Town","Single",0,0,3,2,4,3,3,1,1,4,3,2,1,2,3,2,3,1,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,1,2,2,4,3,3,3,4,4,4,5,4,3,"No","No",2.4,2.33,2.65,4.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4131,55,"Female","Yes","phd","Full-Time",87500,"university faculty","23",0,"Large-City","Married",0,2,4,4,4,2,2,1,1,1,2,3,3,4,4,4,4,3,3,4,2,3,4,3,1,1,4,2,3,4,3,2,4,4,2,2,4,3,3,4,4,3,2,3,2,3,2,"Yes","No",3.2,2.73,3,2.6,"PROFESSOR","PhD","*Missing*",NA
"*Missing*",4132,28,"Male","No","deg","Student",10000,"0","0",0,"*Missing*","*Missing*",0,0,1,1,1,1,1,1,1,2,1,1,3,3,3,1,3,2,1,1,1,1,3,1,1,3,2,1,1,1,3,1,1,2,1,1,1,4,3,1,3,1,5,4,4,4,3,"No","No",0.8,1.67,1.75,3.6,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4135,21,"Male","No","ltuni","Student",10000,"0","0",0,"*Missing*","*Missing*",0,0,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,2,2,2,5,2,1,2,1,2,1,3,2,1,1,3,5,3,2,2,2,4,4,4,4,5,"Yes","No",1,1.47,2.15,3.6,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4136,24,"Female","No","deg","Full-Time",NA,"0","0",0,"*Missing*","*Missing*",0,0,5,3,5,5,5,2,4,2,5,3,3,5,4,2,4,5,5,2,5,4,4,2,3,5,5,4,5,5,5,5,5,5,2,4,5,5,5,4,5,5,4,4,4,4,3,"Yes","Yes",3.6,3.73,4.35,4.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4137,20,"Female","No","ltuni","Student",NA,"0","0",0,"*Missing*","Single",0,0,3,2,4,2,2,2,4,2,4,2,3,3,2,2,4,3,5,5,4,3,4,2,3,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,5,4,"Yes","No",2.2,3.13,4,4,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4138,21,"Female","No","deg","*Missing*",NA,"0","0",0,"Medium-Sized","Single",0,0,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,4,4,5,5,5,5,1,1,1,1,1,"Yes","Yes",4,4.87,4.2,1.8,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4140,55,"Female","Yes","phd","Full-Time",NA,"0","0",0,"Medium-Sized","Married",0,2,4,3,4,3,3,3,1,5,1,1,2,1,3,1,4,4,3,3,1,3,4,1,2,2,2,2,5,3,4,2,2,5,5,4,3,3,2,3,3,4,4,5,5,5,4,"Yes","No",3.2,2.4,3,4.6,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4141,45,"Female","Yes","phd","Full-Time",87500,"","4",6,"Large Town","Divorced",NA,1,4,4,3,3,3,2,4,3,4,4,4,4,4,4,5,3,4,3,4,4,4,2,3,2,4,4,4,4,4,5,4,4,2,4,4,4,4,3,2,3,3,3,2,4,4,"Yes","Yes",3,3.67,3.55,3,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4143,20,"Female","No","ltuni","Student",10000,"","0",0,"Rural/Country","Single",0,0,2,3,2,4,4,4,3,3,3,4,3,5,4,4,5,4,4,3,3,5,5,1,2,5,5,3,3,3,4,4,4,5,5,3,4,3,2,4,3,5,3,3,2,1,3,"Yes","Yes",2.2,3.73,3.65,2.8,"*MISSING*","Left University","*Missing*",NA
