Occupation,Substitution,
Business / Test Analyst, IT - Systems Analyst,
Business Systems Analyst, IT - Systems Analyst,
0,*Missing*,
(blank),*Missing*,
abc,*Missing*,
fdsdf,*Missing*,
ouh,*Missing*,
please specify,*Missing*,
Please specify title Manager for Regulat,*Missing*,
Procrastinator,*Missing*,
s,*Missing*,
University Staff,Academic - Staff,
education administration,Academic administration,
College Administrator,Academic Administrator,
Director of Academic Affairs,Academic Affairs - Director,
Education Specialist,Academic Specialist,
Accountant,Accountant,
Accounting,Accountant,
Accounting Assistant,Accountant,
Accounts Payable,Accountant,
Accounts Payable / Fleet Manager,Accountant,
Accounting Manager,Accountant,
acounting analyst,Accountant,
Actress,Actress,
acupuncturist,acupuncturist,
admin assist,Admin Assistant,
Administration Assistant,Admin Assistant,
Administrative Asistant for Jewelry Stor,Admin Assistant,
Assistant,Admin Assistant,
secretary,Admin Assistant,
Administrative Officer,Administrator,
Administrator,Administrator,
adult care,adult care,
Agronomist,Agronomist,
airport ground handler,airport ground handler,
anthropologist,anthropologist,
Antique Dealer,Antique Dealer,
Architect,Architect,
Art Director,Art Director,
Artist,Artist,
Artist/ designer/builder,Artist,
Artist/administrator,Artist,
artist/designer/homemaker,Artist,
jewelry artist,Artist - jewelry,
visual artist,Artist - Visual,
Astrohysicist,Astrophysicist,
advocate,Attorney,
Assistant District Attorney,Attorney,
assistant general counsel,Attorney,
associate at law firm,Attorney,
Attorney,Attorney,
Attorney – Associate,Attorney,
Attorney - self employed for 2 years – f,Attorney,
Attorney-self employed,Attorney,
In-house Legal Counsel,Attorney,
Editor Attorney,Attorney,
First VP & Associate General Counsel,Attorney,
Aviation Specialist,Aviation Specialist,
banker,Banking,
Investment Assistant,Banking - Investment Assistant,
Associate / investment banking,Banking - Investment associate,
investment banker,Banking - Investment banker,
Investment Counsel,Banking - Investment Counselor,
Bank Teller,Banking - teller,
Bartender,Bartender,
Biologist,Biologist,
free lance bookkeeper,Bookkeeper,
bookkeeper/ actor,Bookkeeper,Use primary only
bookkeeper,Bookkeeper,
bookseller,Bookseller,
Braillist,Braillist,
Budget analyst,Budget analyst,
BUSINESS CONSULTA,Business consultant,
business consultant,Business consultant,
Director of business development,Business Development - Director,
Business Owner,Business Owner / Self Employed,
businesswoman,Business Owner / Self Employed,
Co-Proprietor,Business Owner / Self Employed,
entrepreneur,Business Owner / Self Employed,
Entrepreneur & Consultant,Business Owner / Self Employed,
Owner,Business Owner / Self Employed,
Self Employed,Business Owner / Self Employed,
self employeed,Business Owner / Self Employed,
buyer,Buyer,
Online Media Buyer,Buyer - Online Media,
CAD operator,CAD Technician,
CAD Technician,CAD Technician,
Camera Coordinator,Camera Coordinator,
Case Manager,Case Manager,
Organic Grocery Store Cashier/shift lead,Cashier,
C E O/ M D,CEO,
ceo,CEO,
president/CEO,CEO,
Chief Financial Officer,CFO,
chairman of the board,Chairman,
chiropractor,chiropractor,
clinical psychologist,clinical psychologist,
Clinical Research Assistant,Clinical Research Assistant,
Clinical Trial Assistant,Clinical Trial Assistant,
Collection management specialist,Collections,
Communications,Communications,
Communications & Publishing,Communications & Publishing,
laborer (construction),Construction ,
Contsuruction Management,Construction - Management,
consultant,Consultant,
senior consultant,Consultant,
Consultant and entrepreneur (small busin,Consultant,
Director of Contract Management,Contract Management - Director,
Proposal Director,Contract/Proposal - Director,
copy supervisor,copy supervisor,
Copy Writer,Copy Writer,
Corporate instructor,Corporate Trainer,
Corporate Trainer,Corporate Trainer,
Corrections,Corrections Officer,
Juvenile Corrections Officer,Corrections Officer - Juvenile,
Counselor,Counselor,
academic/career coach & admin assistant,Counselor - career Coach,
Career Placement Associate,Counselor - career Placement,
Licensed Professional Counselor,Counselor - Professional,
School Counselor,Counselor - School,
Creative Consultant,Creative Consultant,
Creative Director,Creative Director,
Customer Service,Customer Service,
Customer Service at Domino's Pizza,Customer Service,
Dance teacher,Dance teacher,
dentist,Dentist,
designer,Designer,
Designer,Designer,
Dietitian,Dietitian,
Clinical Dietitian,Dietitian - Clinical,
Dish Washer,Dishwasher,
Night Dispatch Supervisor (it's just a,Dispatch,
chauffeur,Driver,
Driver,Driver,
Sr. Drug Safety Associate,Drug Safety,
Ecology technician,Ecology technician,
Economist,Economist,
Economy,Economist,
Editor,Editor,
Free lance editor and tutor--in theory,Editor - Freelance,
Special Projects Editor,Editor - Special Projects,
election services,election services,
Electrical Technician,Electrician,
electronic technician,electronic technician,
EMT,EMT,
engineer,Engineer,
audio engineer,Engineer - Audio,
Chiefe Development Engineer,Engineer - Development,
Mechanical Engineer,Engineer - mechanical,
Process Engineer,Engineer - Process,
enologist,enologist,
entertainer,Entertainer,
Manager - Analytical and Environmental S,Environmental - Analytical Manager,
environmental education non profit direc,Environmental - Education/Non Profit,
EHS Manager,Environmental - EHS Manager,
Environmental Analyst,Environmental Analyst,
Environmental Engineer,Environmental Engineer,
Environmental Senior Specialist,Environmental Specialist,
Facilities Management,Facilities Management,
Farm Manager,Farm Manager,
Casting Director,Film - casting Director,
film editor,Film - Editor,
Film maker,Film - Maker,
Film Industry/Miscelanious,Film - Other,
Financial Advisor,Financial Advisor,
financial analyst,financial analyst,
Financial Consultant,Financial Consultant,
Controller,Financial Controller,
Financial Controller,Financial Controller,
financial officer / small career-trainin,financial officer,
financial risk manager,financial risk manager,
Fitness Instructor,Fitness Instructor,
Fitness Assistant / wellness mentor / ca,Fitness Instructor - Wellness mentor,
Food Department Director,Food Department Director,
Food Service Supervisor,Food Service - Supervisor,
Diplomat,Foreign Affairs,
Foreign Affairs Specialist,Foreign Affairs,
Framer/Sales Associate,Framer,
"furniture maker, home restorer",Furniture maker,
Geologist,Geologist,
Geophysicist,Geophysicist,
Graduate Assistant,Graduate Assistant,
Graduate Research Assistant,Graduate Assistant - Research,
Senior Grant Officer,Grant officer,
Grants Administrator,Grants Administrator,
Graphic Designer,Graphic Designer,
Page Designer for a newspaper,Graphic Designer,
Produce Associate,Grocery Store - produce associate,
Grocery Store Salesman,Grocery Store Salesman,
Groundskeeper,Groundskeeper,
health care,Healthcare,
Healthcare Consultant,Healthcare - Consultant,
Full-Time Mother / Part-Time Editor,home maker,
home maker,home maker,
houswife,home maker,
Parent Educator/Supervisor,home maker,
#Kids Kids variable,home maker,
Stay-at-home dad,home-maker,
Hotel Desk Clerk,Hospitality - Desk Clerk,
Housekeeping,Hospitality - Housekeeping,
innkeeper,Hospitality - innkeeper,
Senior Human Resources Consultant,HR Consultant,
HR generalist,HR generalist,
Human Resource Manager,HR Manager,
Human Resource Manger,HR Manager,
HVAC Tech,HVAC Tech,
Insurance,Insurance,
sales insurance,Insurance - Sales,
Insurance Agent,Insurance Agent,
insurance broker's assistant,insurance broker's assistant,
Insurance Claims Supervisor,Insurance Claims Supervisor,
Insurance Coordinator,Insurance Coordinator,
Investigative Specialist,Investigative Specialist,
IT,IT,
Information technology,IT,
information assisstant,IT - Assistant,
IT Assistant,IT - Assistant,
Deputy Chieif Information Officer,IT - CIO - Deputy,
Technology (CTO),IT - CTO,
Director / information technology,IT - Director,
IT director,IT - Director,
Data Warehouse Engineer,IT - DW Engineer,
Information Management,IT - Manager,
manager IT,IT - Manager,
IT Manager,IT - Manager,
Tech Support,IT - Support,
Technical support rep,IT - Support,
Tech Analyst/GIS,IT - tech analyst/GIS,
ISTraining Coordinator,IT - Training Coordinator,
IT admin,IT Administrator,
IT Administrator,IT Administrator,
IT analyst,IT analyst,
Computer Consultant,IT Consultant,
Information Technology Consultant,IT Consultant,
IT consultant,IT Consultant,
IT Engineer,IT Engineer,
IT security consultant,IT security consultant,
Information Developer,IT Software engineer,
Software analyst,IT Software engineer,
Software Developer,IT Software engineer,
Software engineer,IT Software engineer,
Software Pro,IT Software engineer,
Developer,IT Software engineer,
Programmer,IT Software engineer,
Programmer Analyst,IT Software engineer,
Programmer/Developer,IT Software engineer,
Programmer/Software Analyst,IT Software engineer,
IT Specialist,IT Support Engineer,
IT Support,IT Support Engineer,
IT Support Engineer,IT Support Engineer,
IT Technician,IT Support Engineer,
IT systems administrator,IT Systems Analyst,
Computer Operator,IT Systems Analyst,
Computer Science,IT Systems Analyst,
Computer Systems Analyst,IT Systems Analyst,
Computers,IT Systems Analyst,
Senior Systems Analyst,IT Systems Analyst,
System Analyst,IT Systems Analyst,
system manager,IT Systems Analyst,
Systems Analyst,IT Systems Analyst,
Systems Programmer/Analyst,IT Systems Analyst,
Janitor,Janitor,
Journalist,Journalist,
journalist (freelance),Journalist,
Lab Services Assistant,Lab  Assistant,
