"Age","Gender","Kids","Education","EducationAlt","WrkStatus","Income","Occupation","OccupatnAlt","YearsInPos","MnthsInPos","CommSize","Country","MaritalStat","Sons","Daughters","SelfProcrast","OthrProcrast","HDICategory","DPMean","AIPMean","GPMean","SWLSMean","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5"
45,"Male","No","deg","Degree","Full-Time",150000,"0","*MISSING*","2",0,"Small Town","*Missing*","Single",0,0,"No","No","*Missing*",2.4,2.33,2.65,4.2,3,2,4,3,3,1,1,4,3,2,1,2,3,2,3,1,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,1,2,2,4,3,3,3,4,4,4,5,4,3
55,"Female","Yes","phd","PhD","Full-Time",87500,"university faculty","PROFESSOR","23",0,"Large-City","*Missing*","Married",0,2,"Yes","No","*Missing*",3.2,2.73,3,2.6,4,4,4,2,2,1,1,1,2,3,3,4,4,4,4,3,3,4,2,3,4,3,1,1,4,2,3,4,3,2,4,4,2,2,4,3,3,4,4,3,2,3,2,3,2
28,"Male","No","deg","Degree","Student",10000,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"No","No","*Missing*",0.8,1.67,1.75,3.6,1,1,1,1,1,1,1,2,1,1,3,3,3,1,3,2,1,1,1,1,3,1,1,3,2,1,1,1,3,1,1,2,1,1,1,4,3,1,3,1,5,4,4,4,3
21,"Male","No","ltuni","Left University","Student",10000,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","No","*Missing*",1,1.47,2.15,3.6,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,2,2,2,5,2,1,2,1,2,1,3,2,1,1,3,5,3,2,2,2,4,4,4,4,5
24,"Female","No","deg","Degree","Full-Time",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",3.6,3.73,4.35,4.2,5,3,5,5,5,2,4,2,5,3,3,5,4,2,4,5,5,2,5,4,4,2,3,5,5,4,5,5,5,5,5,5,2,4,5,5,5,4,5,5,4,4,4,4,3
20,"Female","No","ltuni","Left University","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Single",0,0,"Yes","No","*Missing*",2.2,3.13,4,4,3,2,4,2,2,2,4,2,4,2,3,3,2,2,4,3,5,5,4,3,4,2,3,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,5,4
21,"Female","No","deg","Degree","*Missing*",NA,"0","*MISSING*","0",0,"Medium-Sized","*Missing*","Single",0,0,"Yes","Yes","*Missing*",4,4.87,4.2,1.8,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,4,4,5,5,5,5,1,1,1,1,1
55,"Female","Yes","phd","PhD","Full-Time",NA,"0","*MISSING*","0",0,"Medium-Sized","*Missing*","Married",0,2,"Yes","No","*Missing*",3.2,2.4,3,4.6,4,3,4,3,3,3,1,5,1,1,2,1,3,1,4,4,3,3,1,3,4,1,2,2,2,2,5,3,4,2,2,5,5,4,3,3,2,3,3,4,4,5,5,5,4
45,"Female","Yes","phd","PhD","Full-Time",87500,"","*MISSING*","4",6,"Large Town","*Missing*","Divorced",NA,1,"Yes","Yes","*Missing*",3,3.67,3.55,3,4,4,3,3,3,2,4,3,4,4,4,4,4,4,5,3,4,3,4,4,4,2,3,2,4,4,4,4,4,5,4,4,2,4,4,4,4,3,2,3,3,3,2,4,4
20,"Female","No","ltuni","Left University","Student",10000,"","*MISSING*","0",0,"Rural/Country","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2.2,3.73,3.65,2.8,2,3,2,4,4,4,3,3,3,4,3,5,4,4,5,4,4,3,3,5,5,1,2,5,5,3,3,3,4,4,4,5,5,3,4,3,2,4,3,5,3,3,2,1,3
45,"Female","Yes","deg","Degree","Full-Time",150000,"","*MISSING*","1",0,"Large Town","*Missing*","Married",NA,0,"No","No","*Missing*",1.6,2.27,3.2,3.4,3,2,2,1,1,1,2,5,3,2,1,1,2,2,2,5,2,3,2,3,3,2,2,4,5,2,3,2,4,3,3,4,5,4,3,4,3,3,2,1,4,4,4,4,2
